Sr. No.,City,bank,Address,,
151,Bangalore,ICICI,"Food World 9, Gandhi Bazar Basvanagudi Banglore -560004 ",,
152,Bangalore,ICICI,"FoodWorld, 301, Leeman's Complex, Cunningham Road, Banglore - 560052. ",,
153,Bangalore,ICICI,"Food World,  86, M.G Road Banglore 560001. ",,
154,Bangalore,ICICI,"Food World Opp. ,R.T Nagar,  Banglore. ",,
155,Bangalore,ICICI,"Hamsa Services Station, Dharmaram Collage, Post Hosur Road, Banglore - 560029. ",,
156,Bangalore,ICICI,"73/1 - 1, Krishna, Infantry Road, Bangalore - 1.",,
157,Bangalore,ICICI,"Indira Nagar, 487/1, C M H Road, Indira Nagar, Banglore - 560038.   ",,
158,Bangalore,ICICI,"Indira Nagar, 487/1, C M H Road, Indira Nagar, Banglore - 560038.  ",,
159,Bangalore,ICICI,"Indira Nagar, 487/1, C M H Road, Indira Nagar, Banglore - 560038.  ",,
160,Bangalore,ICICI,"Infosis III, Infosys Tower, 27 Banergatta Road, 3rd J.P Nagar, Banglore - 560078. ",,
161,Bangalore,ICICI,"Infosys Technologies Ltd., Plot No, 44 & 97A, Electric City, Third Cross, Konnappana, Agrahara, Bangalore 562158.",,
162,Bangalore,ICICI,"Infosys Technologies Ltd., Plot No, 44 & 97A, Electronic City, Third Cross, Konnappana, Agrahara, Bangalore 562158.",,
163,Bangalore,ICICI,"Infosys Technologies Ltd., Plot No, 44 & 97A, Electronic City, Third Cross, Konnappana, Agrahara, Bangalore 562158.",,
164,Bangalore,ICICI,"Infosys Technologies Ltd., Plot No, 44 & 97A, Electronic City, Third Cross, Konnappana, Agrahara, Bangalore 562158.",,
165,Bangalore,ICICI," IOCL CLASSIC SERVICE STN, Next to Fire Station, Banergatta Road, Jaynagar, Bangalore 560029",,
166,Bangalore,ICICI,"ICICI Bank, G-02, Lower Ground floor, International Technology Park Ltd., White Field Road, Bangalore - 560066.",,
167,Bangalore,ICICI,"ICICI Bank, G-02, Lower Ground floor, International Technology Park Ltd., White Field Road, Bangalore - 560066.",,
168,Bangalore,ICICI,"80/7, Elephant Rock Road, Block III, Jayanagar, Bangalore 560 041.",,
169,Bangalore,ICICI,"80/7, Elephant Rock Road, Block III, Jayanagar, Bangalore 560 041.",,
170,Bangalore,ICICI,"No 122, 1st Main Road, Kengeri Satellite Town Bangalore- 560 060 . ",,
171,Bangalore,ICICI,"366-367, 1st A Main, VII Block, Koramangala, Bangalore 560 095.",,
172,Bangalore,ICICI,"366-367, 1st A Main, VII Block, Koramangala, Bangalore 560 095.",,
173,Bangalore,ICICI,"Kumara Park Services Station, Kumara Park, Banglore. ",,
174,Bangalore,ICICI,"Lakshmamma & Sons, R.T.Nagar, Banglore - 560038.",,
175,Bangalore,ICICI,"123 (Old No.37) 13th Cross, Margosa Road, Malleshwaram, Bangalore 560003.",,
176,Bangalore,ICICI,"123 (Old No.37) 13th Cross, Margosa Road, Malleshwaram, Bangalore 560003.",,
177,Bangalore,ICICI,"Manipal Hospital, Airport Road, Bangalore",,
